探索	1	311340		128311	85300	97729
违法	-1	309443		160107	51967	97369
丰富	1	298522		114421	79758	104343
上升	1	295116		138529	66604	89983
严重	-1	294062		130214	71027	92821
信托	0	293318		186411	26795	80112
造成	-1	292838		128568	70281	93989
努力	1	289685		107088	76025	106572
改善	-1	283651		107567	74529	101555
压力	-1	281431		128882	63768	88781
创造	1	269405		102415	65379	101611
力量	1	268180		96643	67956	103581
方便	1	268156		109747	68241	90168
成长	1	265505		106628	76223	82654
高端	1	263214		98890	79410	84914
补贴	1	261539		114844	53066	93629
新型	1	260607		96978	75370	88259
限制	-1	259970		125480	52821	81669
喜欢	1	252010		80671	68220	103119
精准	1	251529		105179	69456	76894
成果	1	246066		92332	71388	82346
先进	1	245986		86117	79180	80689
示范	1	244019		87869	79985	76165
领先	1	240436		101222	77592	61622
涨幅	1	238333		105213	70703	62417
非法	-1	235836		136939	34213	64684
大力	1	234831		89334	64539	80958
违规	-1	233825		130052	32225	71548
给予	1	230607		98788	53941	77878
优秀	1	229899		86898	60636	82365
疾病	-1	228898		59729	91839	77330
健全	1	224923		81846	42113	100964
平安	1	224726		116430	49335	58961
吸引	1	224321		91695	57302	75324
批准	1	224302		115586	48978	59738
文明	1	222952		59242	46241	117469
适合	1	222922		81006	62805	79111
病	-1	222706		63365	79592	79749
广泛	1	219787		82898	60629	76260
合格	1	219163		103709	28204	87250
黄金	1	218621		101348	51316	65957
犯罪	-1	217895		119665	35531	62699
全新	1	216904		84786	66303	65815
培养	1	213473		75112	61385	76976
高效	1	212113		88139	59791	64183
实力	1	211739		86250	53517	71972
品质	1	211074		75914	56354	78806
培育	1	210197		73967	57316	78914
突出	1	208734		76442	51642	80650
值得	1	207768		91823	52265	63680
新兴	1	205382		84463	58772	62147
详细	1	204686		106222	43108	55356
高级	1	200676		91458	46359	62859
节能	1	200421		80224	42554	77643
污染	-1	198959		64934	47443	86582
不足	-1	195242		85331	44874	65037
承诺	1	195222		97946	38924	58352
知名	1	195136		78869	53658	62609
成熟	1	194319		78213	59357	56749
相信	1	192363		79442	58082	54839
竞争力	1	191535		79029	51789	60717
不良	-1	190224		106484	27299	56441
贫困	-1	189849		66669	43937	79243
齐全	1	183848		62728	47823	73297
强大	1	183140		69383	49600	64157
整治	1	182920		83064	34125	65731
重视	1	182837		74910	46026	61901
困难	-1	182210		76048	40122	66040
智能化	1	180855		70818	66691	43346
贯彻	1	180629		59499	38518	82612
福利	1	180008		66516	39148	74344
损失	-1	179276		92212	34135	52929
掌握	1	175726		76016	45002	54708
认真	1	174646		66383	40527	67736
伟大	1	172803		23141	22021	127641
自由	1	170701		63413	39231	68057
便利	1	169580		68919	41055	59606
债务	-1	167903		93112	23334	51457
显著	1	166372		62510	42787	61075
机遇	1	160307		63578	46952	49777
下跌	-1	159727		78042	38080	43605
贡献	1	159568		61446	40722	57400
变革	0	159406		60003	45174	54229
灵活	1	156384		77242	39520	39622
致力	1	156362		66714	45654	43994
诈骗	-1	155311		92713	29748	32850
现代化	1	154930		28789	27000	99141
差	-1	154765		65332	37014	52419
适应	1	151487		60840	39285	51362
复杂	-1	150778		62185	39695	48898
合法	1	149787		77485	26881	45421
奖励	1	148209		65856	29218	53135
处置	-1	148130		74569	24394	49167
脱贫	1	147345		46708	29191	71446
正确	1	145341		60329	32042	52970
阳光	1	145268		53373	39916	51979
不错	1	144837		53395	38069	53373
事故	-1	144362		58251	36025	50086
时尚	1	144151		50276	38872	55003
引领	1	144045		51270	40835	51940
处罚	-1	142631		78198	21455	42978
激励	1	140927		56712	34794	49421
积累	1	140176		63773	37083	39320
下滑	-1	139493		63366	34352	41775
公益	1	139292		60635	33609	45048
幸福	1	137717		40333	45210	52174
潜力	1	136110		55888	37950	42272
切实	1	136048		59823	30149	46076
便捷	1	135833		64688	33123	38022
坚决	-1	134617		37819	21846	74952
诚信	1	134265		64655	26113	43497
专注	1	133678		61731	36460	35487
创意	1	132990		47468	33621	51901
最佳	1	132912		48967	34733	49212
有利于	1	132535		59708	32076	40751
许可证	1	132470		75884	20632	35954
清算	-1	132020		89980	13887	28153
顺利	1	131849		51636	38666	41547
禁止	-1	131592		65087	26344	40161
美丽	1	131428		33260	39356	58812
期待	1	131244		49438	36924	44882
把握	1	128346		53731	32088	42527
负债	-1	128045		73195	15064	39786
注重	1	127546		45354	28545	53647
影响力	1	126939		50944	32678	43317
住院	-1	126426		44610	41041	40775
作品	1	126270		47228	32154	46888
打击	-1	125874		56074	25844	43956
着力	1	125481		44315	30421	50745
活力	1	124830		42223	29449	53158
公平	1	124547		47079	23389	54079
进步	1	124156		44290	33171	46695
准确	1	123801		55322	28292	40187
营养	1	123618		25468	45074	53076
扶持	1	123588		49434	30665	43489
率先	1	122591		47431	34953	40207
亏损	-1	122295		64941	26237	31117
认可	1	120984		54276	29995	36713
缺乏	-1	120077		52307	28340	39430
精彩	1	119314		44817	29870	44627
防止	-1	118148		48101	26491	43556
危机	-1	117238		58407	19741	39090
病人	-1	116811		26410	53867	36534
轻松	1	116806		49980	29565	37261
著名	1	116192		39965	30792	45435
梦想	1	115169		38488	24218	52463
不好	-1	112675		40187	32239	40249
一级	1	112669		54458	26178	32033
快捷	1	112164		49882	25518	36764
投诉	-1	111839		55234	20427	36178
活跃	1	110737		52864	27653	30220
全方位	1	110316		41993	29334	38989
清楚	1	109748		47820	27670	34258
美好	1	109626		28860	24737	56029
垃圾	-1	109371		38064	26547	44760
震荡	-1	109244		50282	32914	26048
违反	-1	109212		61705	16423	31084
清晰	1	106728		46995	24917	34816
经典	1	106593		38318	25665	42610
担心	-1	106162		42953	29539	33670
谨慎	1	105407		50234	28392	26781
独特	1	104876		36157	27277	41442
深刻	1	103916		36180	23169	44567
反弹	-1	103757		49987	28921	24849
虚假	-1	102104		54693	18021	29390
涉嫌	-1	100871		56210	17872	26789
信心	1	100325		40573	23413	36339
理想	1	100177		30294	22390	47493
强势	1	99813		42083	30621	27109
权威	1	99672		34768	27441	37463
国家级	1	99566		35457	30526	33583
冲击	-1	98710		46615	23433	28662
精品	1	98039		33513	24727	39799
矛盾	-1	97870		33240	19540	45090
多元化	1	96593		43656	21914	31023
拒绝	-1	96121		48131	19037	28953
学会	1	95992		35513	30366	30113
极大	1	95194		41236	25648	28310
稳健	1	94729		50429	19137	25163
清洁	1	94665		32184	24322	38159
回报	1	94434		48017	19754	26663
负担	-1	94220		38112	26040	30068
放弃	-1	93596		40234	20374	32988
传销	-1	93463		53740	16374	23349
难题	-1	92438		38511	23109	30818
救助	1	91826		32310	22187	37329
崛起	1	91382		36626	25232	29524
凭借	1	91327		40541	25102	25684
秩序	1	90218		39014	17043	34161
平稳	1	90043		40538	20573	28932
一流	1	88866		28261	25358	35247
协助	1	88495		36794	21720	29981
协作	1	88427		32824	26868	28735
失信	-1	88302		52350	12467	23485
和谐	1	88062		23805	19977	44280
完美	1	87448		32185	24969	30294
奋斗	1	86859		15552	13820	57487
超越	1	86089		34041	22404	29644
感谢	1	85216		32112	21574	31530
热门	1	85155		34679	21727	28749
携手	1	84602		35394	27348	21860
隐患	-1	83936		36108	18870	28958
污水	-1	83687		33811	21877	27999
激发	1	83611		29581	20963	33067
舒适	1	83505		27897	23171	32437
垄断	-1	83412		36827	21654	24931
团结	1	82396		14163	11150	57083
成就	1	82266		28094	21121	33051
洗钱	-1	82039		45369	4966	31704
紧张	-1	81913		31028	23860	27025
泡沫	-1	81710		41987	11969	27754
危险	-1	81307		29456	21908	29943
安全性	1	81243		39413	20565	21265
稳步	1	81044		33815	20454	26775
正规	1	80510		40568	16946	22996
错误	-1	80179		33232	18412	28535
可靠	1	79243		33421	25986	19836
热情	1	78940		29283	20613	29044
坚定	1	78626		21838	16279	40509
满意	1	78580		29013	19212	30355
开拓	1	78492		33872	21081	23539
高新技术	1	77845		34324	23055	20466
有助于	1	77340		32946	20533	23861
开心	1	77151		20011	23649	33491
有力	1	77130		28940	18853	29337
氛围	1	76766		28597	18565	29604
纠纷	-1	76474		37854	14829	23791
威胁	-1	75948		28819	20780	26349
快乐	1	75754		23983	20003	31768
涨价	-1	75511		31987	23632	19892
自信	1	75054		20207	17042	37805
肿瘤	-1	74017		20822	32644	20551
全力	1	73839		29106	20933	23800
障碍	-1	73578		26864	20441	26273
失败	-1	73395		34571	17420	21404
放心	1	73386		26213	19031	28142
能量	1	73093		25315	21512	26266
亮点	1	73046		28154	20383	24509
罚款	-1	72869		39915	11772	21182
温馨	1	72695		23913	19012	29770
精选	1	72558		30494	19443	22621
攻击	-1	72097		30057	24084	17956
落后	-1	72094		26968	19818	25308
查处	-1	71055		29867	13525	27663
使命	1	71009		19789	14276	36944
巩固	1	70153		20158	14367	35628
利好	1	70056		31606	18776	19674
信任	1	70006		34473	16557	18976
吃苦耐劳	1	69428		18818	16165	34445
欺诈	-1	69408		41265	12903	15240
干净	1	68367		19228	22957	26182
责任心	1	68038		19735	17184	31119
前沿	1	67913		25839	23201	18873
诉讼	-1	67523		37474	11138	18911
胜利	1	67027		18863	15320	32844
遭遇	-1	66487		30484	16229	19774
地震	-1	65968		27289	15917	22762
尊重	1	65879		20877	15120	29882
质疑	-1	65709		37373	11734	16602
口碑	1	65693		28013	15579	22101
扎实	1	65524		25593	15803	24128
损害	-1	65199		27254	12807	25138
遵守	1	63830		30287	11419	22124
过度	-1	63328		28202	14990	20136
淘汰	-1	62271		26692	16129	19450
顶级	1	62263		25237	17338	19688
魅力	1	62001		21591	15916	24494
赔偿	-1	61616		31241	11472	18903
精英	1	60599		24847	14638	21114
繁荣	1	60530		18215	11085	31230
强劲	1	60305		27009	15262	18034
病毒	-1	59179		20614	20992	17573
无效	-1	59115		34629	10485	14001
违约	-1	58260		35452	7500	15308
冠军	1	58255		22282	16679	19294
伤害	-1	57661		20383	17412	19866
传承	1	57298		19131	13577	24590
破产	-1	57295		33154	7968	16173
负面	-1	57270		27907	9936	19427
甲级	1	57035		24034	7724	25277
赢得	1	56495		23176	14376	18943
熟练	1	55779		17646	14183	23950
资深	1	55712		25563	14075	16074
刑事	-1	55435		28919	9817	16699
麻烦	-1	55082		22259	15216	17607
故障	-1	54594		22723	17433	14438
乱象	-1	53503		31276	7664	14563
加剧	-1	51867		22809	12416	16642
危害	-1	51839		19266	14418	18155
追究	-1	51765		24898	9523	17344
过剩	-1	51735		22956	12007	16772
陷入	-1	51307		24038	10750	16519
侵权	-1	50817		21803	12078	16936
后果	-1	50675		22857	10881	16937
倡导	1	50532		14599	11089	24844
漏洞	-1	50141		23515	14256	12370
仔细	1	50096		20650	12306	17140
突发	-1	48663		17257	14430	16976
多样化	1	48632		20863	11205	16564
腐败	-1	48494		12404	8467	27623
繁华	1	48303		8503	20065	19735
颠覆	1	48241		20494	13309	14438
遏制	-1	48078		19972	8687	19419
漂亮	1	47884		15390	13540	18954
赋予	1	47515		15651	10221	21643
积极性	1	47505		18058	12340	17107
复苏	1	46839		19875	11236	15728
奠定	1	46783		17973	13617	15193
乐观	1	46760		19469	11995	15296
恶意	-1	46640		23655	10516	12469
担忧	-1	45919		20748	10875	14296
失业	-1	45545		18596	10481	16468
志愿者	1	45527		15785	12911	16831
警惕	-1	44390		22560	8837	12993
惩戒	-1	43541		23705	7072	12764
嫌疑人	-1	43318		20825	10262	12231
感染	-1	42930		10593	18119	14218
解除	-1	42476		19967	10125	12384
行贿	-1	42022		29319	3519	9184
热爱	1	41978		14300	10741	16937
稳定性	1	41877		18234	10312	13331
精心	1	41429		14695	11001	15733
开创	1	41095		14531	10877	15687
浪费	-1	40962		14188	10973	15801
温暖	1	40809		10712	16220	13877
契机	1	40742		16314	11499	12929
卓越	1	40724		17073	11055	12596
荣获	1	39342		16236	10794	12312
吸引力	1	39300		17022	9258	13020
满意度	1	39230		14848	10364	14018
时机	1	39213		17427	9831	11955
精致	1	39138		10236	15514	13388
缺陷	-1	39088		16577	11182	11329
高档	1	37973		13215	9873	14885
平等	1	37793		13597	6321	17875
传奇	1	37788		14356	8623	14809
实惠	1	37733		13946	10701	13086
正面	1	37641		17533	8149	11959
正当	1	37531		17454	7444	12633
见证	1	36858		14481	10203	12174
规避	-1	36352		19932	5850	10570
缺少	-1	36199		14493	8919	12787
黑马	1	36119		17378	11553	7188
癌症	-1	36104		10136	13943	12025
蓬勃	1	36071		14789	8845	12437
欠	-1	35928		16827	7788	11313
值得一提	1	35844		16091	9317	10436
靠谱	1	35754		19110	6958	9686
美味	1	35416		7218	6842	21356
批评	-1	35305		13901	7660	13744
判决	-1	35193		18955	5857	10381
劣势	-1	35163		15330	6460	13373
盲目	-1	35002		16688	7676	10638
困境	-1	34690		16326	7432	10932
坚定不移	1	34439		9032	6347	19060
认同	1	33855		12819	7678	13358
代价	-1	33750		12131	8243	13376
神奇	1	33208		10049	10102	13057
领袖	1	33187		14949	9271	8967
辉煌	1	33091		11738	8856	12497
高血压	-1	32883		7044	13443	12396
实质性	1	32860		16204	7328	9328
警告	-1	32797		14881	7322	10594
妥善	1	32776		14786	6873	11117
优雅	1	32736		7563	14856	10317
解放	1	32732		11258	8043	13431
激情	1	32646		11158	9092	12396
擅长	1	32590		12419	10475	9696
起诉	-1	32538		16962	6021	9555
遭到	-1	32519		13553	7591	11375
勇于	1	32476		6916	4922	20638
套现	-1	32457		21593	3847	7017
前所未有	1	32413		12306	7835	12272
灾害	-1	32331		12780	8717	10834
过于	-1	32038		13701	8101	10236
富有	1	31877		11750	8545	11582
怀疑	-1	31416		12848	8441	10127
投机	-1	31019		16123	4320	10576
利于	1	30608		13554	6819	10235
美景	1	30375		7328	6942	16105
彰显	1	30270		10744	7853	11673
夯实	1	30065		12545	8222	9298
摆脱	-1	29914		12197	8398	9319
本领	1	29462		5096	4337	20029
处分	-1	29272		13543	4272	11457
贬值	-1	29176		15657	3756	9763
故意	-1	29092		13539	6623	8930
罚单	-1	29056		19748	2442	6866
侵犯	-1	28985		13412	6781	8792
违纪	-1	28223		15138	5200	7885
超标	-1	27955		6447	3875	17633
倡议	1	27928		11866	6524	9538
坚守	1	27903		10795	6051	11057
拆除	-1	27824		12043	6063	9718
庆祝	1	27760		9667	8227	9866
致富	1	27476		10583	5584	11309
晋升	1	27436		9833	6773	10830
信念	1	27400		7807	4941	14652
稳妥	1	27321		11908	5261	10152
必备	1	27295		10766	7207	9322
端正	1	27156		8221	6006	12929
贴心	1	26961		10039	7017	9905
深厚	1	26881		9171	7519	10191
恐怕	-1	26657		12005	6730	7922
艰难	-1	26645		11198	6560	8887
洞察	1	26601		11980	7281	7340
深受	1	26463		9038	6826	10599
传染病	-1	26426		7417	10302	8707
世界级	1	26338		8436	8290	9612
圆满	1	26204		10234	7802	8168
无奈	-1	26160		9233	7017	9910
效能	1	25407		11188	6725	7494
稀缺	1	25220		10701	6570	7949
遭受	-1	24999		11773	5933	7293
坏账	-1	24816		16385	2807	5624
严谨	1	24474		10141	5873	8460
增进	0	23790		6805	5943	11042
踏实	1	23756		7303	5936	10517
丰厚	1	23748		9055	6654	8039
热烈	1	23745		8675	6747	8323
擅自	-1	22042		10534	4010	7498
混乱	-1	22014		9297	4529	8188
特有	1	21806		7151	5629	9026
讲究	1	20538		6894	5669	7975
回避	-1	20510		10540	3550	6420
